Frame,Pixel Distance
0,48.70730016219199
1,49.16697534155504
2,49.03181689541222
3,48.26429799074858
4,48.80370681481368
5,49.19517923870596
6,49.98219015337105
7,50.47880124052975
8,50.65855593621706
9,50.52666590067712
10,51.36161660992428
11,51.638988177995806
12,51.3886263377657
13,51.50258092273124
14,52.112546217613904
15,51.997069568270945
16,51.93729070904703
17,52.253678499415535
18,52.86320857586586
19,52.5326377091636
20,53.4862691663604
21,53.61980776321415
22,52.99438186350314
23,53.61988742825577
24,53.64666835549337
25,54.03027030549663
26,54.90129570571821
27,55.140321613494145
28,55.4535717036545
29,55.23630250962844
30,54.82447676237902
31,54.89493441512985
32,55.18045019717177
33,55.76530919020832
34,55.37064507961159
35,49.51839420188632
36,49.50881125392916
37,48.744266226188074
38,47.8570428811836
39,47.97161779272655
40,47.22710978601702
41,47.21871984927245
42,47.778610669003534
43,48.06576382529531
44,47.60455767265322
45,47.31996093912746
46,47.3886323700266
47,48.457204277965914
48,48.143415444460416
49,48.99772021828325
50,49.73206905580524
51,49.52289698925556
52,49.501179398834076
53,49.98407497637985
54,49.9849734661247
55,50.15146973508862
56,50.730452688733706
57,51.1052485048782
58,51.33484003976829
59,51.63577090943075
60,52.1474820242732
61,51.41001824628863
62,52.442427824021316
63,52.29602370525365
64,53.12063782012667
65,53.09114615822771
66,52.83770942035901
67,52.67815307793845
68,53.38870474198695
69,54.01969067285705
70,54.07826720974903
71,53.85219598115138
72,54.259161849809274
73,54.48964783148536
74,54.70550534372181
75,54.45706367521685
76,54.87769929921764
77,54.20906425870332
78,54.87760518040856
79,55.09745633474577
80,55.04967385725585
81,50.516776596129596
82,47.610041355873136
83,48.065357972367245
84,47.794235519201536
85,47.55146370579081
86,47.250469365649984
87,46.54990163869705
88,46.50311416991487
89,47.274050504989106
90,47.46557874792411
91,48.19557517393735
92,48.67001497402233
93,48.49177544852472
94,48.628006620789684
95,49.12463042235548
96,49.599571804734786
97,50.36351575857259
98,50.66157390656564
99,51.463658230010395
100,50.88070018335644
101,51.57738715822827
102,51.64018518063462
103,51.558998989921754
104,52.20218601521847
105,51.781630524530215
106,52.56056795086609
107,52.494731277473875
108,52.082942547224405
109,52.43419812124101
110,53.21709115409605
111,53.52857574935994
112,54.27911054048525
113,54.3159617097169
114,53.99268830048066
115,54.417540790719315
116,54.71184035401481
117,54.529125804401026
118,54.55703610012538
119,54.88043700281087
120,54.54216267801371
121,55.106127324829025
122,54.1941818770128
123,48.39115365131457
124,47.409395105828565
125,47.66174435883592
126,47.419950864224234
127,46.8464417974058
128,46.47904595953667
129,46.337084427883816
130,46.73068084593305
131,48.336508019059416
132,48.45044326002984
133,49.01023329453697
134,48.79902498825467
135,49.14232710271848
136,50.367911322463904
137,50.28703557874484
138,51.05495711674504
139,50.591466065999
140,50.970705870144656
141,50.820207708657755
142,51.50332807419871
143,51.3839380554635
144,51.37601728714423
145,52.29243625749788
146,52.440136880100056
147,52.184791142588736
148,52.72505678573357
149,53.24236517218976
150,53.586350430920945
151,53.678676200147905
152,53.409985822546254
153,53.151091638232906
154,53.70201790960357
155,54.07983009961552
156,53.16614493993007
157,54.21401446104275
158,54.18941021054848
159,54.61844008322862
160,54.44419344760174
161,55.33605288833544
162,48.5374457359121
163,46.733724169351945
164,47.239681365860164
165,47.920603272080555
166,47.949232315495266
167,47.28293314046211
168,48.343036448896505
169,47.475007580008864
170,48.72819672119017
171,49.68589629004578
172,49.33582961791938
173,49.76674777698901
174,50.47226854593834
175,50.649799352497936
176,50.931663241723086
177,50.96749431965141
178,51.33160324034187
179,52.68125317168426
180,52.80186043428995
181,53.01865706409586
182,52.953196343940476
