Frame,Pixel Distance
0,56.278077913301615
1,56.05187221026351
2,55.787704720463914
3,56.448639289504
4,56.26559259449936
5,56.03421769253586
6,55.17324762869136
7,55.06917390043045
8,54.66133492924573
9,54.84910413337453
10,54.54007338197813
11,54.819366497664106
12,54.74853009401186
13,54.64673147502502
14,53.84313232870844
15,54.036097674421455
16,54.11396699360494
17,53.827937006902786
18,53.83345203548992
19,53.791401929888806
20,53.37019787360782
21,53.00908988859188
22,53.12413971170274
23,52.316518232980634
24,52.16636709479063
25,52.001648510615574
26,51.62242635464994
27,51.43829483687212
28,51.02507540371999
29,51.470332399718465
30,51.45097211374277
31,50.577186188200066
32,50.70093758375129
33,51.06152247325099
34,51.1396127888774
35,55.57525444935791
36,56.07660237653898
37,56.83276011694527
38,57.55790333554947
39,57.40141660717166
40,57.81945534764725
41,57.95510165582352
42,57.50667201320544
43,57.457180086948235
44,57.75905156555572
45,57.84498935880844
46,57.52641285451516
47,57.039159635413746
48,57.277107226900746
49,57.14169607199652
50,56.88635209622004
51,56.68363487779123
52,56.69539428039756
53,56.15580776970712
54,55.709060220593
55,56.04384756375761
56,55.17047693559447
57,55.074137794469245
58,55.03737281455456
59,54.631274455767425
60,54.699271875863055
61,55.3981387368604
62,54.984747037882514
63,54.098480001666374
64,53.64847897847289
65,53.365902406252566
66,53.12806221279361
67,52.86425679450451
68,52.83780390970677
69,52.35915069617331
70,52.773044077645096
71,52.099731829560035
72,52.00687990373389
73,51.3459851998078
74,51.36218882113083
75,51.18268544313744
76,50.971339060442105
77,51.364471305150204
78,51.164361963580355
79,50.94960750753535
80,50.578071993289754
81,55.118327397628676
82,57.26020543913235
83,57.757868360901206
84,57.65466075038374
85,57.615111130722106
86,57.62030528765367
87,57.88006750107463
88,57.50570757850604
89,57.85426693992691
90,58.50078090316275
91,57.21646379626426
92,57.22101609880604
93,57.232757974264025
94,56.772171895415624
95,56.26651579887213
96,55.81907882626616
97,55.608439198231366
98,55.497675909023044
99,55.398256542890536
100,55.6463032213162
101,54.90208985199633
102,54.76885118871757
103,54.16845773581981
104,54.577296455297166
105,53.9268268300067
106,53.403564857846526
107,53.904395937822294
108,54.226502682755225
109,53.46722613120703
110,53.57681766837751
111,52.89004919789983
112,52.46973757114137
113,52.43974927408314
114,52.258002095419805
115,51.96953877847679
116,51.525108952486185
117,52.22485829545116
118,52.10484262290827
119,51.767961189635564
120,51.4771241406396
121,50.74239411211994
122,51.918956333856954
123,56.723603022183816
124,57.17870582403843
125,57.336819746868045
126,57.58781122127919
127,57.89231978750269
128,58.683813553466706
129,58.282576218093695
130,58.320625198397586
131,57.62493663574216
132,56.77831419112692
133,55.97041709597469
134,56.09912593056287
135,56.894316102377125
136,55.82783234904659
137,55.55688680415147
138,55.59550181652611
139,55.64319955462881
140,55.745373616245466
141,55.439503767154655
142,55.06510369653859
143,54.64746995859672
144,54.70824971858639
145,54.73996330775348
146,54.66404756577498
147,54.5899259210218
148,53.89666440399696
149,53.184426637103655
150,53.564199038805
151,53.067737093069795
152,53.141554043381845
153,52.985883053930365
154,52.78374249049013
155,52.274808170142734
156,52.69275481301798
157,52.00664803096418
158,52.121878131293386
159,51.883354049174876
160,51.86220103653535
161,51.97212392437553
162,57.43538657318998
163,58.31444540835326
164,57.987629716803504
165,57.54983142322479
166,58.11089127974739
167,57.46971094754363
168,57.37924625802027
169,57.67418881524767
170,56.87657772434228
171,56.476571499916155
172,56.32112782143781
173,56.20420102668638
174,55.51606144696398
175,55.29951650537411
176,55.60609858564156
177,55.85345765419087
178,55.33358514696437
179,53.1554992315748
180,52.98722963330731
181,53.11635597544507
182,53.70215509043985
