Frame,Warpped Pixel Distance
0,58.10326712552284
1,57.36442454017773
2,57.77550141005521
3,58.01374630530363
4,57.441190793260056
5,57.90942922698362
6,58.21545480223069
7,58.59039939652001
8,58.3877194452814
9,58.42976500933609
10,57.96376643023448
11,57.58416448992787
12,57.85684289244234
13,57.65037157842275
14,57.24755431878259
15,57.112213847266645
16,56.79173729240563
17,57.16471581121462
18,56.32090460963631
19,56.16590966600217
20,55.956630481363746
21,56.11796059047516
22,55.95271105580499
23,56.24623676844429
24,56.512866006067064
25,56.12095626664037
26,56.57154995639266
27,56.02271441620051
28,55.057895851975104
29,55.14166698636796
30,55.06530286601947
31,54.43790569155829
32,54.79609856076126
33,54.53482268316106
34,54.1645675265283
35,53.79058466505325
36,53.83761263945518
37,53.24928862170891
38,52.91135540635229
39,53.2595912631816
40,52.85749026611473
41,53.43151785744493
42,52.930799929782516
43,53.55738260623114
44,53.37419075061326
45,53.070673543653285
46,53.06858229007875
47,52.792642937487585
48,52.83574659113216
49,52.53573176747055
50,52.70777902208763
51,52.05539592916265
52,52.50035839022844
53,52.40858333000365
54,51.54250773441218
55,51.547877790795354
56,50.8774348316058
57,51.139639586326844
58,50.62878539155332
59,49.889515274457395
60,50.12454442112639
61,50.06674109046907
62,50.2744110261774
63,50.13096264426037
64,50.50856179208124
65,50.66886687402571
66,50.43102122833286
67,50.510976016371245
68,50.67261289297057
69,50.497219895490076
70,49.60044145129736
71,50.207300010005774
72,49.15932085618609
73,49.523361039872995
74,49.76052687413457
75,49.98166421563127
76,49.78688410592262
77,49.26495957064994
78,52.49532970589902
79,55.66008077557509
80,58.39417582687795
81,59.340211509628226
82,59.66865747228895
83,60.03596552934186
84,60.317578752416644
85,59.85892598346851
86,59.66637280406537
87,60.19238877002484
88,59.93665923143898
89,60.33478905233536
90,60.514579478848255
91,60.529791121586825
92,60.14075805092178
93,60.12107001629265
94,60.247525797231745
95,60.25594018515645
96,60.49362565769386
97,60.001870848530984
98,59.17708087500147
99,59.72163312345742
100,59.302083952574776
101,59.34006184834348
102,58.559386724342495
103,58.68612059837024
104,58.48849035300835
105,58.52550800896589
106,57.91930321395165
107,57.33948806160736
108,58.03501101354274
109,57.57224343566997
110,57.10362576111402
111,57.61884175613618
112,57.56908627448347
113,57.41661019253991
114,57.77298038310946
115,57.803198693205566
116,57.7911335966519
117,57.6548700128138
118,58.07781202430132
119,57.689258524625316
120,57.95227586124097
121,57.14307898755913
122,56.79410716358813
123,56.96618872524911
124,56.35329877858265
125,56.47585100086315
126,56.462643209265565
127,56.38758751601773
128,56.290158684474996
129,55.69719061391623
130,54.89782955481999
131,54.978185777705725
132,54.20835408702203
133,54.90479139754326
134,54.650606667310214
135,54.283951031829105
136,54.15554980958662
137,54.079199756947624
138,53.53721957953539
139,53.50232728520305
140,53.80290632920864
141,53.74276823746259
142,53.79742978962947
143,52.832076776603955
144,53.159274926046585
145,52.428091962743714
146,52.89804189525462
147,52.657002052334285
148,52.60434338599095
149,52.516368146104014
150,52.70750790335332
151,51.950303830632386
152,51.22769879458903
153,51.41475774514382
154,51.233164397892374
155,51.33901381924946
156,50.74511438957105
157,50.335449644669396
158,50.525121123617524
159,50.35443485873692
160,50.141003703979024
161,50.25411025679728
162,50.04062922273733
163,49.50616981710663
164,49.44877301687303
165,49.527831414185684
166,50.15672720361501
167,52.997462915186205
168,55.9306032409713
169,58.05665977371312
170,58.9719625070985
171,59.56303171226495
172,59.62262126614857
173,60.18669331232754
174,60.14286151310779
175,60.523253800752
176,60.053064231684836
177,59.984140224292744
178,59.7959001934077
179,60.53131207062113
180,60.67955622725262
181,60.55765515364488
182,60.82997522626007
183,60.60695214683925
184,60.39844676825104
185,60.146671334028674
186,60.32662881608654
187,60.64989924337531
188,60.01248066044507
189,59.03479704906074
190,59.31032535600185
191,59.451372313975206
192,59.733038855824724
193,59.302245220795314
194,59.64075691720943
195,59.306426492925326
196,59.373066180210394
197,59.04878647525223
198,58.73085275701709
199,58.987379356740384
200,58.87208023499515
201,58.77554128974886
202,58.54701970588399
203,58.36134428855075
204,58.163855431323896
205,58.165213745859475
206,58.328792895913175
207,58.29044673377814
208,57.751343209007814
209,57.94634778302238
210,56.86960317819833
211,57.00212687031518
212,56.9116470009695
213,56.99305687686304
214,57.01672196078723
215,56.68632211638347
216,56.517496639908124
217,56.10028369829024
218,56.63353596487836
219,56.085583729379934
220,55.79903184228205
221,55.323994795619534
222,54.716278580703
223,54.839256401936964
224,54.548370988783255
225,54.483844994020615
226,55.328022417053255
227,54.127289936121166
228,53.74782890072179
229,54.34338418091029
230,54.218152394636704
231,53.635022896441555
232,54.04104818930883
233,53.878838034470874
234,54.01208315713225
235,53.20363896414125
236,53.34319134475123
237,53.321148627739575
238,52.93497675420004
239,52.70696723570245
240,52.17644490557192
241,51.79881796307209
242,52.0506046079377
243,52.04516981132598
244,51.57171455749101
245,51.56317228748825
246,50.62659954381026
247,50.46582967564408
248,50.82470870697618
249,51.18326467032785
250,51.48259167153072
251,51.10853063789631
252,51.22730707378641
253,50.53386860070379
254,51.27448866088487
255,50.24752643135124
256,50.80201324482169
257,52.26124812150233
258,55.236497060404204
259,58.29507049454376
260,58.736829627996364
261,59.147545966231576
262,59.582751965693994
263,60.561607768024956
264,61.26673943037734
265,61.496848908346415
266,61.258760646692195
267,60.98747461863346
268,60.551444323076225
269,60.75112809065546
270,60.8933967088034
271,60.73931611988402
272,61.12911560097384
273,60.217530993754075
274,60.29610063537526
275,59.92387033618632
276,59.49448636730441
277,59.690143622585126
278,59.49634795397155
279,59.36502357431525
280,60.212241685494625
281,60.10342760601135
282,59.786331314228164
283,60.010672293630385
284,59.99241239847122
285,60.034356626043426
286,59.19173277283385
287,59.352201166117574
288,59.261915846482665
289,59.46973125835406
290,59.31133341520436
291,58.69337695430097
292,59.092089762587406
293,59.613853307879616
294,58.948988565498865
295,59.265117122099625
296,58.483073027268446
297,58.63036546617989
298,58.57645006319815
299,58.52439223614008
300,58.49995388542025
301,57.93552561297546
302,58.34923082822217
303,58.01260913642393
304,57.77532724398402
305,57.63190178779774
306,57.06803102078878
307,56.95836329335559
308,56.58750609830524
309,55.73340122475184
310,56.11102429600737
311,55.016279597355876
312,55.39357771213978
313,55.99760144724246
314,55.903850913251425
315,54.98863057930335
316,55.331768407314165
317,55.305388322854384
318,55.51433691082985
319,55.28526927264753
320,55.53803370899889
321,55.94106510956991
